,county,state,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,votes16_Donald_Trump,votes16_Hillary_Clinton,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,lat,long,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
1601,Leavenworth,KS,0.586,0.339,29676,17387,10064,0.592,0.381,36115,21378,13753,39.20183497,-95.03620809,2603,18,79359,42581,36778,6.8,79.2,8.4,0.4,1.5,0,59121,70022,2408,30170,975,9,12.6,37.8,19,21.7,10.2,11.4,81.4,11,0.3,2.1,1.8,3.3,22.6,34678,70.8,25.5,3.7,0,4.2
1157,Hamilton,TX,0.847,0.133,3609,3056,479,0.831,0.147,4347,3613,641,31.70470573,-98.11083887,206,5,8220,4062,4158,12,85.1,0.7,0.7,0.2,0,6304,46611,6707,26522,3521,16.1,23.8,29,18.9,19.9,18.7,13.4,71.6,16.9,0,6.1,0,5.4,19.1,3584,69.3,18.1,11.1,1.5,3.1
1010,Garrett,MD,0.79,0.175,12905,10189,2252,0.775,0.206,15045,11654,3098,39.52786077,-79.27355126,150,1,29516,14618,14898,1.1,96.6,0.6,0.1,0.4,0,23763,48174,2234,26303,1162,11.4,17,33.8,17.5,18.8,16.5,13.4,79.5,9.9,0.6,3.7,0.6,5.7,24.2,13937,74.6,16,9.3,0.2,4.8
2409,Riverside,CA,0.464,0.49,517200,240013,253215,0.447,0.536,722913,323026,387200,33.74314981,-115.9933578,68178,1319,2355002,1171711,1183291,48,36.6,6,0.4,6.1,0.3,1487322,60807,429,25700,191,15.6,21.3,29.4,21.4,24.6,11.4,13.2,77.2,12.9,1.3,1.6,1.7,5.2,33.1,978726,77.7,14.7,7.5,0.2,9.9
274,Brooks,GA,0.587,0.399,6268,3679,2504,0.6,0.393,7100,4260,2790,30.83922642,-83.58303423,553,26,15629,7531,8098,5.6,56.8,33.6,0,0.8,0,11757,34890,5889,20964,1463,23.6,40.8,27.1,16.6,23.5,16.8,16.1,82.1,9.7,0.6,0.7,2.3,4.7,24.2,5865,75.2,18.3,6.4,0.1,13.6
1283,Hot Spring,AR,0.685,0.263,11909,8153,3137,0.734,0.244,12503,9178,3053,34.31709259,-92.95396325,2297,37,33480,17294,16186,3.4,82.8,10.9,0.3,0.3,0,26167,40626,1975,20868,1583,15.8,19.7,30.4,17.9,22.2,13.8,15.7,84.3,11.8,0.6,1.4,0.5,1.4,26.1,13378,79.3,15.3,5.1,0.4,6.2
2378,Reno,KS,0.644,0.284,23448,15100,6670,0.659,0.316,27245,17948,8602,37.95230263,-98.08607292,2308,18,63360,31944,31416,9.1,84.7,2.7,0.5,0.5,0,47817,47897,1385,25267,843,14,20.2,31.4,19.1,23.5,10.6,15.4,82.4,9.1,0.3,2.5,2.4,3.4,17.5,29785,79.3,14.8,5.7,0.3,5
762,Denton,TX,0.577,0.375,293287,169175,110000,0.532,0.451,416610,221829,188023,33.20521901,-97.11691153,14978,177,781321,384390,396931,19.1,60.9,9.1,0.3,7.8,0.1,519933,80290,1119,37928,397,8.4,9.4,46,13.9,25.6,6.3,8.2,80.9,8.5,0.9,1.3,1.3,7.1,28.9,419189,82.7,11.6,5.5,0.2,4.5
1958,Montgomery,GA,0.749,0.238,3560,2668,847,0.746,0.247,3966,2960,979,32.17201038,-82.53527476,377,10,8962,4593,4369,6.5,64.5,26,0.2,0.3,0,6655,40308,2678,20114,1479,19.5,27,29.1,19.9,19.7,14.9,16.4,83.7,11.2,0.1,2.3,1.7,1,21.3,3511,79.1,15.2,5.7,0,6.6
1440,Jones,IA,0.571,0.377,10011,5718,3779,0.599,0.384,10965,6572,4213,42.12118609,-91.13139641,590,4,20468,10528,9940,1.8,94.4,2.5,0.4,0.1,0,15880,58391,5596,29653,1718,9.1,10.5,32.2,17,20,10.7,20.1,81.6,7.7,0.3,3.8,0.4,6.3,24.6,9671,77.2,12,10.1,0.7,4.2
2348,Rains,TX,0.846,0.134,4630,3919,619,0.852,0.139,6044,5147,841,32.87109387,-95.79232691,97,5,11246,5722,5524,8.7,85.8,1.5,1,0.1,0,8630,48308,4901,23976,1572,13.1,17.6,27,16.7,23.1,16.9,16.4,80.7,11.8,0,2.1,1.8,3.5,34.9,4601,74,11.7,14.3,0,5.7
1952,Montague,TX,0.875,0.103,8604,7526,885,0.878,0.112,9812,8613,1097,33.67521893,-97.72500958,299,6,19406,9512,9894,10.7,86.3,0.2,0.3,0.1,0,14259,46592,4160,26278,1905,15.5,21.7,26,15.1,22.8,18.9,17.3,83,10.3,0.6,1.6,0.4,4,24.3,7938,81.5,11.3,6.8,0.5,6.6
3016,Whitley,KY,0.822,0.15,13769,11312,2067,0.819,0.166,15347,12567,2552,36.75700531,-84.14541217,882,7,36027,17686,18341,1.2,96.1,1.2,0.3,0.1,0,27075,34103,3043,18463,1591,25.2,32.9,31,17.6,25.9,9.2,16.3,81.6,11.1,0.6,4.1,0.6,2,20.6,12794,73.4,22.1,4.6,0,9.2
1710,Luce,MI,0.682,0.264,2576,1756,681,0.68,0.272,3101,2109,842,46.47227431,-85.54471223,78,1,6406,3753,2653,3.2,78.2,6.4,6.3,0.2,0,5276,41221,2374,19442,1386,19.4,36.3,29.5,25.9,23.4,8.4,12.9,76.4,12.8,0,4,1.9,4.9,13.6,2064,72.9,23.4,3.4,0.3,11.8
1977,Moody,SD,0.59,0.356,2930,1729,1042,0.609,0.368,3206,1951,1179,44.02266214,-96.67081159,240,3,6496,3312,3184,3.6,77.6,0.6,10.8,2.1,0,4720,56233,3006,27774,2984,15.9,23.4,33.8,16.8,19.1,14.1,16.1,78.7,5.5,0,6.9,2.1,6.8,19.8,3307,71.2,18.8,9.6,0.4,4.9
1090,Grays Harbor,WA,0.497,0.429,23783,11818,10194,0.519,0.455,36551,18960,16623,47.14003705,-123.7820567,726,11,71454,36786,34668,9.8,79.9,1,4.1,1.6,0.3,54694,45483,2355,24081,827,16,21.7,28.5,23.6,22.9,11.5,13.5,76.9,12.5,0.9,2.2,1.1,6.4,25.8,27104,69.7,23.1,6.9,0.3,10.1
1588,Lawrence,IL,0.748,0.213,6039,4517,1288,0.76,0.222,6379,4849,1414,38.71987914,-87.72884035,379,8,16457,9034,7423,3.8,84.6,8.6,0.3,0.4,0,13094,44504,3076,21072,1126,16.4,25.8,30.8,21.9,17.7,10.2,19.4,80.9,9.9,0.3,2.7,1.2,5,19,6361,78.6,11.7,9.4,0.2,5.4
2206,Perry,IL,0.702,0.251,9706,6816,2433,0.726,0.259,10060,7305,2609,38.08510853,-89.36856219,507,16,21467,11832,9635,3,86.3,8.7,0.3,0.6,0,17213,45864,3207,23929,2316,14.7,19.5,24.1,20.8,18,16.8,20.3,84.8,11.2,0.4,1,0.3,2.3,25,8236,80,15.3,4.7,0,6.7
2030,Nelson,ND,0.605,0.316,1694,1025,536,0.642,0.33,1777,1141,586,47.9226426,-98.19038437,177,3,2971,1530,1441,2.5,96.7,0,0.3,0,0,2378,52417,5195,33599,2873,8.4,10.7,35.4,19.3,16.7,17.7,11,71.6,10.5,0.1,5.8,4,8,17.9,1550,64.3,17.5,17.9,0.3,0.5
498,Chouteau,MT,0.649,0.282,2581,1676,729,0.636,0.333,2967,1888,988,47.88084126,-110.4353362,119,0,5812,2884,2928,2.3,76.5,0.1,19.1,0.4,0,4363,39577,2805,22014,1352,20.3,26.7,39,19.2,20.1,12,9.8,63.7,9.2,0.7,8.5,2.7,15.3,17.2,2490,62.2,22.9,13.5,1.3,3.5
2700,Sumner,KS,0.721,0.215,9494,6844,2039,0.742,0.237,10779,7998,2551,37.23682549,-97.47721621,311,3,23336,11658,11678,5.3,90,0.9,1,0.4,0,17383,52695,2960,25393,881,11.8,14,31.3,16.4,20.6,13.1,18.6,81.8,9.4,0.2,2.7,0.7,5.2,23.5,10759,75.4,17.3,7,0.2,5.1
2066,Nodaway,MO,0.676,0.268,9439,6379,2529,0.694,0.289,9874,6855,2849,40.36079813,-94.88133008,1278,11,22744,11302,11442,1.6,92.8,2.6,0.3,1.7,0.3,18582,41370,1806,21056,962,22.6,24.1,29.9,25.1,21,8.4,15.6,79,10.1,0.1,6.2,1.3,3.3,16.1,11535,74.9,17.6,7.4,0.1,4.7
2179,Patrick,VA,0.76,0.208,8489,6454,1768,0.785,0.205,9534,7485,1954,36.6801638,-80.2865648,337,27,17958,8867,9091,2.8,89.9,5.5,0.3,0.3,0,14550,37757,4017,21785,1237,20.2,41.5,24.2,16.4,18.3,16.6,24.4,88.1,8.2,0,1.1,0.6,2,28,7383,76.5,14.5,8.7,0.4,6.6
303,Bullitt,KY,0.727,0.229,36054,26210,8255,0.732,0.251,41964,30708,10551,37.97162523,-85.68955617,1617,15,78622,39131,39491,1.8,94.9,0.6,0.2,0.6,0.1,60463,59917,1921,26643,768,10.2,12.7,27.3,13,26.9,11.1,21.7,85.2,10,0.1,0.7,1,3,28.1,38391,86.4,9.5,4,0.2,5.9
1204,Harrison,MO,0.805,0.156,3682,2965,574,0.836,0.156,3825,3198,597,40.35570088,-93.99222144,197,1,8615,4280,4335,2.1,95.5,0.8,0.2,0,0,6393,42889,4370,20947,1196,18.3,27.7,29.5,19.4,23,13.6,14.6,76.2,12.3,0,5.6,2.4,3.5,19.3,3821,71.7,16.6,11.1,0.7,3.3
338,Caldwell,NC,0.741,0.235,35747,26499,8403,0.751,0.238,42438,31877,10105,35.95204977,-81.54799522,2685,19,81805,40361,41444,5.1,87.9,4.9,0.4,0.6,0,63220,40735,1356,21991,977,16.4,20.8,24.5,17,22.7,11.6,24.2,83.4,10.3,0.1,0.7,1.9,3.7,23.4,35011,80.8,13.2,6,0,7.9
2689,Sullivan,IN,0.717,0.247,8559,6138,2113,0.743,0.239,9004,6687,2153,39.08952258,-87.41414469,500,14,20900,11235,9665,1.7,92.1,3.7,0.2,0.8,0,16648,45031,3877,22239,1681,15.6,19.9,26.2,18.7,18,16.5,20.6,87.5,9.3,0.2,1.8,0.3,0.9,22.8,8087,82.9,12.4,4.5,0.2,5.9
590,Coles,IL,0.602,0.338,21580,12985,7285,0.622,0.356,22470,13981,7997,39.51949084,-88.22358557,2178,40,52540,25395,27145,2.4,91,3.8,0.2,1.2,0,42302,41907,1985,26060,1725,21,23.4,31.2,19.5,24.6,7.5,17.2,77,10,0.9,5.6,2,4.5,16.3,24725,75.9,17.5,6.4,0.1,7.3
1133,Guilford,NC,0.387,0.587,252087,97461,147949,0.378,0.61,281201,106384,171538,36.07959451,-79.78824948,11962,210,517197,245216,271981,7.7,51.4,33.3,0.4,4.8,0,371192,49253,816,28582,446,16.7,24.2,38.1,16.8,25.2,6.8,13.1,82.5,8.7,1,1.3,1,5.5,21.5,246145,82.3,12.2,5.4,0.1,6.6
2354,Randolph,AL,0.76,0.226,10130,7697,2290,0.79,0.204,10824,8548,2203,33.29526734,-85.45708831,865,16,22530,10998,11532,3,75.3,19.4,0.2,0.2,0.2,17343,39485,3413,20983,1532,18.7,29.7,23.4,13.4,21.1,12.8,29.3,85.5,9.1,0.1,0.4,1,4,26.3,8565,79.4,12.1,8.3,0.1,5.8
2090,Oconee,GA,0.677,0.276,19030,12885,5253,0.659,0.324,25168,16595,8162,33.83749973,-83.43679568,877,31,35972,17661,18311,4.8,84.9,5.4,0.1,4.1,0,25358,77388,4806,38639,2369,6.9,10.2,53.5,12.6,20.1,5.2,8.6,85.2,8,0,0.4,0.6,5.9,23.5,16944,71.1,22.6,6,0.3,4.4
1450,Kalamazoo,MI,0.405,0.533,125966,51031,67142,0.396,0.584,143363,56823,83674,42.24542231,-85.53038622,5237,114,259830,127247,132583,4.7,78,10.6,0.2,2.4,0,196596,51945,978,29258,598,16.7,18.9,39.3,19,22.6,6.1,13,82.4,7.5,1.5,2.9,1.6,4.1,20.3,128938,83.2,10.8,5.8,0.2,6.6
2235,Pierce,WA,0.422,0.499,298470,125964,148918,0.429,0.542,458080,196592,248142,47.03892768,-122.1405958,10514,227,845193,420170,425023,10.4,68,6.5,1,6,1.4,610627,63881,771,31157,329,12.2,16.1,33.9,17.9,24.3,10.4,13.4,78.9,9.5,3.5,2.2,1.4,4.5,31.2,383286,76.7,18.5,4.6,0.1,6.9
1413,Jefferson Davis,LA,0.755,0.216,14277,10775,3080,0.77,0.216,14841,11423,3208,30.26896765,-92.81210004,1357,44,31405,15431,15974,2.3,78.6,16.3,0.7,0.4,0,23299,40744,3794,23068,1304,19.6,24.2,27,19.3,22.4,17,14.3,81.9,11.3,0,1.5,3.7,1.6,30.8,12173,75,19,5.8,0.2,9.1
2191,Pemiscot,MO,0.658,0.323,6025,3964,1946,0.719,0.272,5727,4116,1556,36.2130572,-89.78742322,761,14,17344,8210,9134,2.4,68.9,26.7,0.1,0,0,12655,32468,2812,18883,1505,28.5,39,24.7,22.8,18.4,9.4,24.7,85.2,9.6,0.4,2.5,0.6,1.8,17.4,6326,79,16,4.9,0.2,10.7
312,Burleson,TX,0.765,0.215,6945,5316,1491,0.783,0.208,8604,6740,1786,30.49273808,-96.62158484,482,6,17596,8781,8815,20.1,65.7,12.3,0.2,0.3,0,12859,52510,4429,27112,1779,15.1,26.9,25.6,19.3,19.1,17.2,18.9,81.6,13.5,0.3,1.1,0.8,2.6,27.4,7697,71.9,18.5,9.3,0.4,6.7
1669,Linn,MO,0.733,0.222,5572,4084,1239,0.762,0.224,5700,4344,1274,39.87001769,-93.10704106,173,7,12248,5907,6341,2.1,95.1,0.4,0.2,0.3,0.1,9309,41652,2416,22361,996,16.5,26.5,26.3,18.4,23.4,13,18.9,79.9,11.8,0,2.5,1.9,4,19,5516,77,14.3,8.2,0.5,3.2
842,Edmonson,KY,0.789,0.187,5241,4135,979,0.787,0.2,6131,4828,1227,37.21218923,-86.23955613,192,12,12063,6049,6014,0.9,95.5,1.6,0.3,0.1,0,9694,41114,4167,21851,1868,20,25.8,25.9,21.1,21.7,15.3,16.1,80.5,13.7,0,2.1,2,1.6,29.8,4640,75.1,19.9,4.8,0.2,9.3
1108,Greene,NC,0.544,0.446,8013,4358,3570,0.557,0.438,8715,4858,3820,35.48544173,-77.67578087,973,13,21059,11380,9679,14.9,46.9,35.4,0.4,0.1,0,15222,36989,2776,18662,1229,25.8,38.8,26.8,19.8,14.4,18.6,20.5,81.9,13.5,0.1,2.9,0.4,1.3,25.8,8125,75.2,16.8,8,0,9.4
1859,Meagher,MT,0.749,0.197,972,728,191,0.75,0.232,1110,833,258,46.59907074,-110.8898557,84,4,2000,972,1028,4.1,93.5,0,1.2,0,0,1468,41343,4810,20095,2009,15.8,19.8,35.5,19.5,15.3,17.8,11.9,68.2,4.1,0,9.4,2.4,16,13.4,902,66.3,13.3,19.5,0.9,3.5
2737,Taylor,IA,0.702,0.251,3003,2108,755,0.76,0.23,3242,2463,746,40.73710579,-94.69778563,273,2,6214,3152,3062,7.5,90.7,0.3,0,0.7,0,4688,46825,2160,27344,2295,11,10.9,30.4,13.9,16.5,12.8,26.3,80.6,10.4,0,3.6,1.4,4.1,21.2,3004,70.6,16.6,12.7,0,2.8
2290,Portage,OH,0.527,0.425,73968,38978,31463,0.554,0.43,81280,45034,34935,41.16793482,-81.19735782,1945,68,162080,79258,82822,1.7,90,4.1,0.1,1.9,0,126877,53816,1220,27985,589,14.5,18.7,32.2,18.4,24.4,8.1,17,84.1,7.1,0.7,2.8,0.5,4.8,25.5,82049,83.9,11.4,4.5,0.2,7.2
454,Chatham,GA,0.412,0.557,106013,43649,58998,0.399,0.587,133589,53288,78369,32.00043026,-81.12489526,9547,191,285506,137781,147725,6.3,49.1,39.4,0.2,2.5,0.1,212500,52215,1310,28765,736,17.3,25.9,36.2,21.1,22.6,8.1,12,78.5,9.5,2.7,2.5,2.6,4.1,21.8,132386,80,14.5,5.3,0.2,8.7
1735,Madison,AR,0.72,0.232,6829,4917,1587,0.77,0.213,7315,5630,1555,36.01038185,-93.72524943,444,6,15907,8005,7902,5.4,90.2,0.1,1,0.4,0.5,11851,42894,3325,23203,2396,17.8,22.6,29.3,14.9,20,14.8,21.1,80.5,12.2,0.3,1.8,1.2,4,31.7,6557,74.8,13.8,11.3,0,4.5
2867,Vernon,LA,0.81,0.16,16633,13471,2665,0.817,0.168,17268,14107,2898,31.10884837,-93.18153838,1133,56,51906,27614,24292,9.4,70.1,14.1,1.4,1.7,0.4,37964,46620,1257,22583,874,16.9,22.6,30.7,19.2,24.1,16.4,9.5,85,8.4,0.1,2.6,1.9,1.9,21.6,17386,64.8,30.8,4.3,0.1,8.7
2329,Pulaski,VA,0.683,0.276,15112,10314,4170,0.7,0.284,17327,12127,4925,37.06474963,-80.71229738,314,6,34330,17152,17178,1.6,90.9,4.7,0,0.7,0,27812,49691,2407,26328,1151,13.9,20.2,31.2,17,23,8.8,20.1,85.9,8.1,0.4,1.5,1.5,2.6,22.8,15462,74,20.6,5.4,0,6.9
2618,Spotsylvania,VA,0.558,0.39,62083,34619,24204,0.525,0.457,75212,39506,34385,38.18574462,-77.655399,2509,55,130159,63945,66214,9,69.5,15.4,0.3,2.6,0.1,93292,81434,1924,33859,649,8,10.8,39.2,17.4,24.4,10.2,8.7,78.4,12.9,2.5,0.6,1.2,4.4,38.2,64416,73.5,22.4,3.9,0.1,5.5
1852,McNairy,TN,0.781,0.184,10035,7839,1847,0.806,0.172,11267,9085,1943,35.17468549,-88.5647812,1171,30,25945,12672,13273,2,90.1,5.7,0.2,0.1,0,20102,34353,2880,19745,1423,21.6,26.8,27.9,14.9,22.4,10.3,24.6,86.8,6.4,0.1,0.4,1,5.4,26.9,9313,72.9,17.4,9.7,0.1,13.6
1555,Lamar,AL,0.84,0.149,6931,5819,1035,0.858,0.136,7187,6168,978,33.77995024,-88.09668032,534,6,14021,6875,7146,1.5,86,10.8,0.3,0,0,10888,36016,2778,21152,2374,23.1,37.3,28.8,14.5,18.9,13.4,24.4,84.4,13.8,0.6,0.2,0.1,1,28.1,5376,76.6,18.5,3.8,1,7.9
1740,Madison,IL,0.55,0.394,127902,70295,50336,0.555,0.419,135686,75272,56845,38.83042506,-89.90422563,7751,160,266153,129987,136166,3.1,85.5,8.4,0.2,0.9,0,204598,56536,1150,30278,668,13.5,18.2,34.9,17.8,24.5,8.8,14,85.5,6.8,1.8,1.3,0.7,3.8,24.8,125596,83,12.9,4,0.1,7.4
1396,Jefferson,KS,0.627,0.305,8151,5112,2483,0.646,0.324,9581,6193,3106,39.2347941,-95.38289232,300,6,18856,9556,9300,2.5,93.9,0.6,0.6,0,0,14396,58935,2073,27783,868,8.3,12,33.6,14.6,21.1,14.5,16.2,85.2,8.8,0.4,1.3,0.8,3.6,30,9299,72.7,20.5,6.7,0,5.8
2071,Northampton,NC,0.364,0.626,9761,3556,6113,0.395,0.6,10075,3977,6048,36.41736238,-77.39769443,580,19,20426,9944,10482,2.1,38.6,56.9,0.5,0.3,0,16406,33508,2581,19126,977,25.4,40.5,28.3,20.9,21,13.1,16.9,84.9,10.3,0,1.2,0.9,2.7,25.6,7083,72.7,21.8,5.3,0.2,10.2
2632,St. Johns,FL,0.65,0.316,136392,88633,43037,0.627,0.361,176942,110886,63808,29.90096506,-81.43589967,6639,85,226578,110112,116466,6.4,83.6,5,0.2,2.6,0.1,171715,73640,2446,39563,953,9.1,9.3,46.2,15.8,24.9,6.1,7.1,81.1,7.2,0.1,1.1,2.4,8.1,27.2,102778,81.8,13.2,4.8,0.3,5.3
834,Eau Claire,WI,0.431,0.504,54080,23301,27271,0.435,0.543,58275,25341,31620,44.726614,-91.28609183,3960,21,102388,50371,52017,2.3,90.6,0.8,0.4,3.5,0.4,79895,52178,1737,27780,705,14.5,13.4,34.5,18.9,24.8,6.6,15.3,80,8.2,0.9,3.8,1.3,6,18.4,55778,81.7,12.9,5.3,0.2,4
1664,Lincoln,WV,0.752,0.205,6988,5257,1435,0.768,0.219,7830,6012,1711,38.172154,-82.07017953,263,2,21241,10644,10597,0.6,98,0.5,0.2,0.2,0,16451,37075,4934,19321,1196,24.9,37.8,22.6,21.9,25.8,15.3,14.5,84.5,9.7,0,2.3,1.6,1.9,35.4,7139,77.3,20.5,2.2,0,7.3
1578,Latimer,OK,0.764,0.197,4050,3094,797,0.809,0.179,4249,3437,762,34.87844729,-95.25215049,231,2,10621,5387,5234,3.4,66.1,1.1,20,0.5,0,8203,40539,2636,24233,2096,18.9,26.9,33,17.3,18.1,18.1,13.5,83.5,10.2,0.5,3.3,1,1.5,23.8,3863,65.2,26.8,7.5,0.5,7.4
2654,Stark,OH,0.564,0.39,170868,96345,66581,0.585,0.4,185714,108610,74336,40.81482476,-81.36437305,4528,186,374273,181773,192500,1.9,86.8,7.1,0.1,0.8,0,289327,50117,834,27401,464,14,21.5,32.2,18.7,23.9,8.4,16.8,85.1,8,1.3,1.6,0.7,3.3,21.8,177307,84.8,10,5.1,0.1,6.7
704,Dallas,AR,0.544,0.421,2769,1507,1165,0.594,0.364,2649,1573,963,33.97042763,-92.65167437,188,6,7585,3639,3946,3.1,53.2,40,0.4,1.6,0.2,5772,35794,4141,18309,1309,13.2,17.4,18.6,22.9,18.9,12.6,26.9,75,15.4,0,5.6,2.2,1.9,27.5,2910,72.2,23.7,3.8,0.3,6.4
1240,Henry,IN,0.692,0.255,20075,13895,5124,0.716,0.264,21020,15043,5543,39.93029017,-85.39625719,1556,30,48649,25252,23397,1.7,93.8,2.3,0.2,0.5,0,38363,46131,1368,23293,1162,16.1,25,28.9,17.9,23.5,9.3,20.5,85.3,8.3,0.2,1.3,0.9,3.9,26.8,20044,80.3,12.4,7,0.3,7
905,Fayette,IA,0.57,0.374,9813,5591,3666,0.603,0.376,10184,6145,3834,42.86271799,-91.8441231,453,4,20139,10162,9977,2.3,94.1,1.2,0,0.9,0,15691,48412,2550,27020,1549,12.8,17.2,30.2,19.8,18.5,11.5,20.1,76.2,8,0.4,5.6,1.5,8.4,19.5,10036,78.8,11.4,9.3,0.4,3.5
1866,Meigs,OH,0.73,0.229,9410,6869,2157,0.758,0.228,10764,8163,2452,39.09224872,-82.0305041,238,12,23234,11517,11717,0.6,96.8,1.2,0.1,0,0,18146,42105,2658,22396,1429,22.5,31.6,27.5,19,21.5,15.3,16.6,81,12.8,0.4,1.4,0.4,4.1,30.9,8891,73.1,19.2,7.5,0.2,10.4
1480,Kershaw,SC,0.605,0.356,28875,17464,10293,0.609,0.378,33629,20471,12699,34.33988254,-80.58763164,2535,49,63734,30877,32857,4.1,69.1,23.9,0.2,0.5,0,48240,46565,2217,23530,902,16.4,21.1,31.9,16.4,24.1,12.4,15.1,86.1,9.4,0.2,0.9,1,2.5,26.8,26909,80.1,15.5,4.4,0.1,7
2271,Polk,AR,0.804,0.147,8215,6606,1210,0.829,0.147,8468,7018,1242,34.48254879,-94.22728802,374,5,20212,9869,10343,6.4,88,0.5,1.1,0.5,0,14939,33870,2290,18735,996,26.6,35.7,28.4,15.7,22.4,15.4,18.1,77,18,0.6,1,0.8,2.5,23,7222,72.6,17.1,10.3,0,8.5
1943,Monroe,MI,0.584,0.362,74101,43255,26859,0.605,0.378,87148,52710,32975,41.92734151,-83.53749864,2206,42,149619,73905,75714,3.5,91.5,2.3,0.3,0.6,0,115179,59479,1498,29245,655,11.2,14.8,30.3,17.4,21.2,10.3,20.7,86.3,6.9,1.1,1.1,1.1,3.5,24.5,69205,87.3,8.7,3.9,0.1,5.9
484,Cheyenne,NE,0.79,0.154,4569,3610,702,0.8,0.179,4765,3813,855,41.21999357,-102.9941693,130,0,10012,4899,5113,6.7,89.9,0.4,0.3,0.8,0,7472,58770,4189,32995,1853,10.9,16.3,39.3,16.5,25.4,8,10.8,81.3,11.7,0,1.8,1.5,3.8,13.3,5587,81.8,12.2,6,0,2.5
1609,Lee,KY,0.807,0.166,2667,2151,444,0.812,0.173,2659,2159,459,37.59645942,-83.71513901,189,7,6717,3375,3342,0.8,96.8,1.3,0.3,0.3,0,5300,23297,2291,16489,2535,32.7,43.8,29.9,12.4,21.7,13.5,22.5,81,9.4,0,3.5,5.6,0.5,32.1,1713,66.7,25.3,7.6,0.4,10.3
1130,Guadalupe,NM,0.326,0.53,1814,591,962,0.419,0.564,2179,912,1229,34.86319296,-104.790669,46,1,4426,2645,1781,82.1,15.1,1.3,1.3,0,0,3575,26060,5152,18086,2125,13,19.8,32.2,31,27.7,7.5,1.5,81.8,9.2,0,2.4,3.4,3.1,18.3,1374,52.3,42.6,5.2,0,1.5
255,Bradley,TN,0.775,0.184,38392,29761,7070,0.766,0.214,45968,35194,9849,35.15739424,-84.857186,3754,24,103666,50468,53198,5.8,86.5,4.9,0.1,1.1,0,76964,46381,2205,25144,955,18,26.2,31.9,16.9,22.4,10.1,18.8,83.7,8.8,0.3,2.2,1.2,3.8,21.1,46406,82.5,10.5,6.7,0.3,7.2
1877,Mercer,KY,0.731,0.226,10584,7740,2395,0.725,0.258,11735,8506,3033,37.81474237,-84.87488475,387,6,21378,10652,10726,2.7,91.2,4.1,0.1,0.7,0,16316,47574,2789,24981,1128,16.7,23.4,29.7,17,21,12.6,19.7,83.8,9.5,0.2,1.1,0.6,4.8,26.4,9657,76.9,14.1,8,1,9.1
712,Darke,OH,0.788,0.176,25000,19698,4395,0.81,0.175,26621,21569,4668,40.13412966,-84.6194517,1317,51,51919,25569,26350,1.5,96.4,0.8,0.2,0.3,0,39124,50064,1661,24768,660,11.6,17.5,25.1,15.2,20.9,12,26.8,84.8,7.2,0.6,2.2,1,4.2,23.2,24632,84.5,7.2,7.9,0.4,5.1
1746,Madison,NC,0.614,0.356,10966,6735,3899,0.61,0.375,13000,7928,4878,35.85402722,-82.71346418,303,5,21347,10564,10783,2.5,93.9,1.8,0.3,0.6,0,17164,40563,2334,22653,1471,17.8,24.1,31.1,21.1,18.6,14.9,14.3,77.1,12.3,0.1,2,0.8,7.7,28.9,9464,75.9,14,10,0.1,6.9
1021,Geneva,AL,0.855,0.131,11659,9967,1522,0.865,0.127,12538,10844,1592,31.09389027,-85.83572839,975,7,26572,13008,13564,3.8,84,9.2,0.6,0.4,0,20489,39293,2810,21084,1064,22.5,37.6,22.9,17.3,21.5,19.1,19.3,83.5,10.3,0,0.6,2.4,3.1,27.2,10306,73.8,16.5,9.4,0.3,8.9
1274,Holt,NE,0.859,0.105,4979,4275,522,0.862,0.123,5531,4766,683,42.45522056,-98.78402558,328,5,10293,5157,5136,4.3,94,0.1,0.8,0.5,0,7758,52050,2484,27858,1425,8.9,8,36.9,17.3,19.9,14.5,11.4,73.4,9,0.4,5,1.1,11.1,14.3,5662,68.8,15.5,15.4,0.2,1.1
1523,La Paz,AZ,0.686,0.267,4931,3381,1318,0.688,0.3,7458,5129,2236,33.72854224,-113.9810029,628,17,20477,10530,9947,26.3,58.7,0.8,11.1,0.8,0.2,15702,36479,4789,21707,1480,19.7,38.1,26.4,26.8,18.4,18.2,10.1,70.5,9.3,0.6,8.2,3.2,8.3,12.9,6474,67.7,25.6,6.7,0,9.5
2907,Warren,MS,0.515,0.466,18287,9420,8518,0.484,0.505,21162,10236,10681,32.35810271,-90.83352619,1583,56,47510,22609,24901,0.6,47.7,50.2,0.1,0.5,0,35681,41635,2441,22542,1036,23.7,36.2,34.3,21.6,19.7,9.4,15,87,9.2,0.1,1,1.4,1.3,18.5,19407,71.9,23.3,4.6,0.2,7.9
