,county,state,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,votes16_Donald_Trump,votes16_Hillary_Clinton,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,lat,long,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
2742,Tazewell,IL,0.61,0.325,63347,38620,20568,0.617,0.358,68358,42194,24486,40.50716185,-89.51404662,3034,59,134695,66456,68239,2.2,94.2,1.2,0.1,1,0,102624,60874,1682,32082,670,8,9.9,35.1,16.4,25.5,8.3,14.8,87.5,6.9,0.5,1.4,0.9,2.8,21.2,63912,84.9,10.7,4.2,0.2,5.1
251,Bracken,KY,0.769,0.2,3527,2711,705,0.8,0.188,4244,3397,799,38.69158994,-84.08532444,75,1,8330,4186,4144,1.6,96.4,0,0.2,0.5,0,6226,40458,3488,22433,1774,21.4,26.2,27,16.3,20.2,16,20.4,82.1,10.9,0.1,2.4,0.5,4,35.6,3498,76.4,16.4,7.1,0.1,7.6
2096,Ohio,IN,0.726,0.235,2917,2118,686,0.756,0.237,3164,2392,750,38.955305,-84.96515993,151,7,5911,2967,2944,1,96.7,1.3,0.1,0.3,0,4744,58359,3753,27715,1422,5,2.9,24.9,23.3,18.1,11.1,22.6,84,9.6,0.2,3.9,0.7,1.7,31.3,3041,82.7,14.2,1.8,1.2,3.3
2988,Weld,CO,0.567,0.343,133790,75882,45869,0.576,0.395,164791,94965,65169,40.55499405,-104.3929621,6766,159,285729,143783,141946,29,66.4,1,0.4,1.3,0.1,193934,66489,1582,29226,528,11.2,13.4,33.2,16.9,22.7,13,14.2,80,10.6,0.6,2.1,1.3,5.5,26.7,139546,80.6,12.9,6.3,0.3,5.3
1295,Howard,MO,0.676,0.264,4851,3277,1279,0.698,0.277,5089,3552,1412,39.1435761,-92.69756691,273,2,10144,5069,5075,1.4,90.8,5.1,0.5,0.2,0.1,7860,50356,4000,23430,1091,16.4,24.5,35.1,19.2,19.5,12.3,13.9,77.8,10.4,0.5,2.3,1.8,7.2,23.3,4804,72.1,17.2,10.7,0,4.6
1567,Lane,KS,0.823,0.125,831,684,104,0.852,0.128,888,757,114,38.48119447,-100.4660754,27,0,1702,864,838,6.6,90.4,0.1,2.3,0,0.4,1283,51765,10083,29768,2572,10.7,14.4,29.8,18.6,20.9,22.4,8.2,86.7,5,0,3.8,1.3,3.2,14.4,885,55.5,23.6,20.9,0,3.5
2645,Stafford,KS,0.788,0.161,1884,1485,303,0.809,0.176,2017,1631,355,38.03100851,-98.71762001,93,1,4251,2142,2109,13.3,83.7,0.7,0.1,0.2,0,3067,47121,4647,25941,1904,14.5,19.7,35.2,18.4,22.9,15.5,8.1,76.5,12,0.1,3.9,2.4,5.2,19.3,2032,64,24,11.3,0.7,3.7
726,Dawson,MT,0.766,0.183,4304,3298,786,0.777,0.199,4837,3758,962,47.26584855,-104.8944417,278,4,9324,4869,4455,3,92.6,0.5,2.1,0.4,0,7122,59622,4284,29130,1883,12.3,23.2,33.9,19.5,17.9,15.9,12.9,74.4,10.4,0.2,5.5,1.4,8.1,17.4,4805,70.8,16.4,11.8,1,1.1
94,Atchison,KS,0.622,0.304,6393,3977,1946,0.66,0.316,7312,4826,2314,39.53185661,-95.30870026,537,6,16466,7957,8509,2.9,88.4,3.1,0.4,0.3,0.1,12474,46640,4084,25494,3458,18.5,24.7,33,17.1,24.1,8,17.8,76.9,8.6,0,7.6,0.8,6.1,19.8,7669,79.4,14.8,5.5,0.3,6.3
736,DeKalb,IN,0.717,0.234,16816,12054,3941,0.724,0.253,19656,14237,4966,41.39804622,-84.99906934,914,13,42524,21161,21363,2.8,95.1,0.2,0.1,0.3,0,31716,51374,2180,26057,1401,12.5,20.7,28.3,13.2,19.6,9.1,29.8,86.3,8.5,0.1,1.1,1.1,2.9,20.7,21054,87.8,7.8,4.2,0.2,4.6
3024,Wilcox,GA,0.705,0.287,2973,2096,852,0.732,0.263,3281,2403,862,31.97496928,-83.43438555,259,25,8896,5248,3648,4.3,58.5,35.3,0.3,0,0,7025,35457,3364,15119,1632,21.8,30.6,28.7,23.8,16.5,16,15,85.6,8.1,0.5,1.7,1.1,3.1,27.2,2392,61,28.7,10.1,0.1,7.6
543,Clay,MO,0.525,0.414,109237,57328,45182,0.51,0.47,126618,64583,59519,39.31132056,-94.41850862,2761,48,236068,115761,120307,6.6,82.1,5.6,0.3,2.2,0.2,173396,65675,1019,31953,594,8.9,11.5,37,16.6,25.4,7.2,13.8,84,8.1,0.6,1.2,0.9,5.1,23.1,123139,83.9,11.9,4,0.1,4.4
2477,San Diego,CA,0.389,0.559,768383,298521,429338,0.375,0.602,1582217,592617,953278,33.03484597,-116.7365326,57102,891,3283665,1651147,1632518,33.4,46.2,4.7,0.4,11.5,0.4,2207599,70588,617,34350,192,13.3,17.1,41.3,19.6,23,7.6,8.4,76,8.9,3.1,2.9,2.2,7,25.7,1536073,77.8,14.2,7.8,0.2,7.1
1353,Jackson,CO,0.729,0.198,862,628,171,0.779,0.198,873,680,173,40.6659387,-106.3408905,9,0,1372,676,696,24.4,74.9,0,0.4,0,0,1002,45994,4071,24299,3523,12.8,22.5,30.6,15.3,16.8,28.4,8.9,61.2,4.1,0.1,14.1,4,16.5,28.9,707,72.3,20.7,6.6,0.4,1.8
1835,McDowell,WV,0.747,0.231,6179,4614,1429,0.789,0.204,6527,5148,1333,37.38002939,-81.65083669,131,1,19707,10178,9529,1.6,88.7,8.2,0.1,0,0,15496,25595,1577,13985,963,34.9,47.5,24.3,26.2,21.4,15.4,12.7,87.6,7.4,0.1,1.9,0.5,2.4,24.8,4081,64.6,32.2,3.1,0.1,11.2
398,Carroll,OH,0.708,0.244,12807,9067,3124,0.754,0.23,13957,10525,3206,40.5789686,-81.09178213,265,7,27825,13824,14001,1.3,96.4,0.9,0.1,0.4,0.1,21887,51748,3535,26908,1461,14.8,21.5,25.3,17.6,22.2,14.2,20.7,83.2,8.3,0,2.4,1.8,4.3,28.5,12637,81.2,10,8.7,0.2,4.7
